name,ph_seq,ph_dur
Pretty_Boy_seg041,SP ow m ay AP p r ih dx iy p r ih dx iy SP,0.1826176 0.5684224 0.1427072 0.3666688 0.7208448 0.0648576 0.0445184 0.2244224 0.0489856 0.126592 0.1854208 0.037184 0.198208 0.0430592 0.166336 0.1774336
Pretty_Boy_seg042,SP oy SP,0.1774336 0.242368 0.1549184
Pretty_Boy_seg043,SP ay d uw SP,0.1549184 0.5648512 0.1154048 0.6845952 0.2604288
Pretty_Boy_seg044,SP AP l ih t m iy ih n s ay d SP,0.2604288 0.5593856 0.1083008 0.0807296 0.1817856 0.0975744 0.211776 0.1115008 0.1197824 0.21408 0.83488 0.109376 0.1708288
Pretty_Boy_seg045,SP AP m ey k m iy s t ey SP,0.1708288 0.3895808 0.1520256 0.2657664 0.1374208 0.1972608 0.104768 0.1833728 0.1014272 0.9277568 0.0822272
Pretty_Boy_seg046,SP AP r ay t SP,0.0822272 0.6781952 0.0755328 0.484864 0.0593792 0.1208448
Pretty_Boy_seg047,SP b ih s ay d y uw SP,0.1208448 0.0687104 0.08128 0.2996992 0.51072 0.2107904 0.0957056 2.2358272 0.2092032
Stop_Stop_Stop_seg000,SP n ow ay d ih d ax n tr ah s t hh ih m b ah t hh iy r ah sh t m iy t uw f ih r AP tr ay t uw m ae z m ax r ay z m iy ae n w aa s ao l s eh k s ax p ih l AP SP,0.1395833 0.0849065 0.2046769 0.25 0.0596088 0.1810161 0.0620678 0.0785573 0.109375 0.109375 0.0708333 0.1 0.0656462 0.0095238 0.0758719 0.1291665 0.0395832 0.0802084 0.059375 0.1110332 0.1487528 0.1006306 0.115696 0.1645124 0.059375 0.1956138 0.1043862 0.1777 0.0629252 0.1593748 0.4697918 0.2 0.4510416 0.1395832 0.0895836 0.1682896 0.0921268 0.1 0.08125 0.1093748 0.0952524 0.1443312 0.1441044 0.1079364 0.088584 0.0905544 0.328196 0.0406248 0.1 0.0593752 0.1010412 0.1857284 0.1934384 0.1406256 0.1629888 0.0568024 0.1 0.1093752 0.1010416 0.143892 0.4259 0.1593744 0.5584888 2.12172
Stop_Stop_Stop_seg001,SP AP t ow l d m iy eh v r iy th ih ng dh ae t ay w aa z l ao ng ih n t uw hh iy SP,2.12172 0.460416 0.1167296 0.0467112 0.0231312 0.0893416 0.1047632 0.2391152 0.1264168 0.073584 0.0348072 0.134984 0.1253328 0.1059184 0.1197896 0.0386904 0.190476 0.029168 0.2208328 0.05 0.080208 0.1093744 0.1135936 0.2864064 0.139584 0.1208336 0.1000016 0.0992048 0.16644 0.0541456 0.3 0.1292992
Stop_Stop_Stop_seg002,SP AP sh ay n iy ae n d hh ae n s ax m m ay AP s uw v ax n ih r SP,0.1292992 0.4300752 0.25 0.3906256 0.0697904 0.2104176 0.1208336 0.051616 0.0473408 0.1689824 0.2414368 0.1197904 0.1748304 0.0647536 0.1715264 0.218056 0.1592688 0.1219808 0.2666816 0.153112 0.0867968 0.1736192 0.091688 0.508312 0.1093744 0.589584
Stop_Stop_Stop_seg003,SP AP ae n dh eh n ao l ax v s ah dx ax n ay hh ae v f aa l ax n ih n l ah v SP,0.589584 0.7487376 0.2116784 0.0422912 0.0231296 0.1345792 0.089584 0.1906256 0.054144 0.066688 0.079168 0.1716 0.179144 0.0272096 0.1918368 0.086168 0.2044576 0.0593744 0.1010416 0.0593744 0.1417376 0.2582624 0.0593744 0.2211392 0.0285728 0.200288 0.0949472 0.2335616 0.4214944 0.1395808 0.0802096
Stop_Stop_Stop_seg005,SP hh iy w uh d p uh t m iy d aw n ay d s SP,0.5968256 0.0294784 0.179896 0.0577456 0.0630896 0.0493824 0.109992 0.0673312 0.0784576 0.1129264 0.1923264 0.037152 0.2128496 0.0593728 0.1627008 0.0977184 0.1093728 0.0772608
Stop_Stop_Stop_seg006,SP ih l AP p l ey s hh ih m ax b ah v AP SP,0.0772608 0.1123232 0.0697888 0.1566624 0.1414976 0.0448992 0.307984 0.111968 0.0149696 0.1532704 0.0920768 0.2079264 0.0895808 0.521088 0.118496 0.3123456 0.1772352
Stop_Stop_Stop_seg007,SP AP t ay er d ax v s er ch ih ng f ao r dh ax l ah v dh ae t s t ih l ih v s ih n hh ih m SP,0.1772352 0.3604192 0.0918208 0.0888896 0.0994976 0.0410912 0.0682816 0.05 0.1597248 0.1024928 0.1586144 0.0500032 0.0895808 0.1308256 0.1504288 0.029168 0.0448928 0.181408 0.0802688 0.0840512 0.0593792 0.0692704 0.0807264 0.089584 0.1 0.0847936 0.2761888 0.2707488 0.1193056 0.0697984 0.095248 0.0943328 0.079168 0.1 0.211456 0.179168 0.25
Stop_Stop_Stop_seg008,SP AP g ih v ih ng m ay eh v r iy th ih ng l ay k s uw v ax n ih r SP,0.25 0.4499968 0.081232 0.1718816 0.069392 0.1681248 0.1098784 0.1782304 0.360848 0.1080832 0.09296 0.0417376 0.1280544 0.1250048 0.185408 0.179168 0.109376 0.1604128 0.15 0.2697952 0.119792 0.10768 0.1829408 0.0755616 1.9546496 0.329168 1.6
Stop_Stop_Stop_seg009,SP AP g ih v ax n ah p m ay hh aa r t ih n dh ax n ey m ax v ax m eh m r iy SP,1.6 0.661456 0.0873792 0.2011648 0.0586976 0.1131776 0.1221984 0.0871776 0.1093696 0.0696672 0.180336 0.0736352 0.216992 0.0791616 0.1773152 0.073728 0.1339744 0.024496 0.0706944 0.1687616 0.2010304 0.0769728 0.1636576 0.1098112 0.0752832 0.1741472 0.1795936 0.1507424 0.0678496 0.3519424 0.1395872
Stop_Stop_Stop_seg010,SP AP f ao l ax n d aw n l ay k r ey n hh iy k uh d f iy l eh v r iy dr aa p AP n aw ay n ow ay hh ae v SP,0.1395872 0.480208 0.119792 0.1812512 0.0850464 0.0639136 0.1499968 0.0355232 0.1957216 0.029168 0.0463104 0.1536896 0.0635424 0.0760448 0.3702176 0.0506144 0.0781824 0.105216 0.1278912 0.04912 0.0791808 0.1134208 0.1667776 0.1198016 0.1533312 0.1070304 0.0272064 0.1228416 0.179168 0.946064 0.0841472 0.4802016 0.0664928 0.2335104 0.2406208 0.0714432 0.2077248 0.22312 0.087072 0.2502304 0.0999968 0.0475072
Stop_Stop_Stop_seg011,SP hh ae v dh ax k er ih jh t uw t eh l hh ih m SP,0.0475072 0.085712 0.1074112 0.0789856 0.0480736 0.051696 0.1868544 0.2113344 0.0636768 0.1895808 0.0891456 0.0952448 0.1442048 0.2401536 0.1395904 0.1526912 0.1681408 0.0395776 0.1051968
Stop_Stop_Stop_seg012,SP AP t eh l hh ih m t uw s t aa p SP,0.1051968 0.4156416 0.0950208 0.164352 0.0914368 0.0408128 0.0979584 0.139584 0.0599616 0.2108736 0.2197888 0.069792 0.1671232 0.2217664 0.0611072
Stop_Stop_Stop_seg013,SP AP s t aa p s t aa p AP g ih v ax n ah p m ay hh aa r t SP,0.0611072 0.2500032 0.1500032 0.1112256 0.4326528 0.1165376 0.139584 0.0935296 0.91584 0.1254336 0.3058176 0.0593728 0.2406272 0.0454336 0.1837376 0.0684096 0.101376 0.1 0.077536 0.1809536 0.0810944 0.1812544 0.1291648 0.0895808 0.0549632
Stop_Stop_Stop_seg014,SP ih n dh ax n ey m ax v ax m eh m r iy AP f ao l ax n d aw n l ay k r ey n hh iy k uh d t ay s t eh v r iy dr aa b AP n aw ay n ow ay hh ae v SP,0.0549632 0.0752512 0.1587584 0.0222208 0.078912 0.1782336 0.19312 0.0808064 0.1587776 0.1015424 0.1380416 0.1 0.2802112 0.1865024 0.0449024 0.2279616 0.5406336 0.1093696 0.190624 0.1000064 0.060416 0.139584 0.0395776 0.1918272 0.0279616 0.0867776 0.1434368 0.128672 0.0411264 0.3708224 0.069792 0.0874176 0.123008 0.0942272 0.0453504 0.0716672 0.1481216 0.1197888 0.093984 0.0634944 0.1614528 0.0340096 0.0503424 0.1269312 0.2127488 0.8829888 0.1360576 0.4682048 0.0732928 0.2267072 0.2197952 0.0777536 0.1826624 0.2472768 0.0829888 0.2301504 0.0723456 0.039008
Stop_Stop_Stop_seg015,SP hh ae v dh ah k ah r ih jh t uw t eh l hh ih m AP t eh l hh ih m t uw s t aa p AP s t aa p s d aa p SP,0.039008 0.0979584 0.0917312 0.0791616 0.0776256 0.071328 0.1697984 0.1 0.1654528 0.0366336 0.1593728 0.0824448 0.1269312 0.0998464 0.2699392 0.109376 0.2002688 0.15328 0.1162432 0.4220736 0.083456 0.1350976 0.0593728 0.0499968 0.121888 0.1395776 0.0709248 0.218656 0.1500032 0.126592 0.1433088 0.2789056 0.3220032 0.1198144 0.0874368 0.471936 0.1 0.1093696 0.0769792 1.379136 0.2335552 0.1603328
Stop_Stop_Stop_seg016,SP AP ay v b ih k ah m ih n v ih z ax b ax l m eh l t ax w ey ae t n ay t AP SP,0.1603328 0.6247104 0.1054976 0.0645632 0.0947904 0.1010688 0.129312 0.161312 0.0840384 0.1795968 0.0551104 0.0328704 0.1750592 0.0961472 0.1563456 0.096704 0.1439232 0.0593664 0.0756288 0.1455744 0.0485888 0.2162688 0.2031744 0.0761792 0.209536 0.11568 0.1093696 0.0946752 0.585536 0.1197888 0.5197952 0.3812288
Stop_Stop_Stop_seg017,SP dr iy m ih ng w ah n s ow k ah l er f ax l b ih SP,0.3812288 0.1355968 0.1540096 0.0736512 0.10656 0.0697856 0.079168 0.0814592 0.0695872 0.1422016 0.127584 0.1191232 0.200672 0.039584 0.1316288 0.1469376 0.1016384 0.0500032 0.091456 0.0981248 0.169792
Stop_Stop_Stop_seg018,SP ah z b l ae k ae n d w ay t AP l ah v ih ng w aa s ow sh w ah n d er f ax l ih s n ow l ao ng er hh ih r AP s ow ay l k iy p dh ih s f iy l ih ng l ay k ax s uw v ax n ih r SP,0.169792 0.3010432 0.0500032 0.104384 0.0247744 0.1500032 0.1086656 0.1121664 0.0593728 0.039584 0.0673408 0.5722432 0.1 0.5104192 0.0499968 0.1909184 0.0557824 0.1543488 0.0593664 0.0624832 0.117728 0.193824 0.2317504 0.0430848 0.210432 0.1302784 0.0855936 0.0235776 0.0988736 0.1863936 0.1368192 0.0791616 0.120064 0.1403584 0.0927616 0.416608 0.0895872 0.1802048 0.087296 0.1929152 0.11728 0.2629312 0.139584 0.4010368 0.125248 0.1737088 0.2467008 0.1637184 0.1650816 0.1349184 0.069792 0.0655808 0.0469184 0.1083328 0.0878272 0.3517568 0.1197952 0.3197888 0.1 0.1254464 0.1151744 0.135168 0.0346304 0.2574272 0.1142912 0.1142784 0.1696192 0.084352 1.3600128 0.2791808 0.1906304
Stop_Stop_Stop_seg019,SP AP g ih v ax n ah p m ay hh aa r t ih n dh ax n ax m ah v ax m eh m r iy AP f ao l ax n d aw n l ay k r ay n hh iy k uh d f iy l eh v r iy tr ao p AP n aw ay n ow ay hh ae v SP,0.1906304 0.5802048 0.069792 0.2 0.0684864 0.1117312 0.1281728 0.0811968 0.1 0.0832 0.160544 0.0760448 0.1765632 0.1036416 0.2206208 0.1095872 0.1099136 0.0258496 0.0897984 0.1347072 0.1897344 0.0741888 0.1674816 0.1005504 0.1077952 0.1235008 0.249888 0.2530624 0.0535232 0.2700096 0.4 0.1290752 0.2204032 0.0598592 0.0406592 0.1500096 0.0578624 0.1741568 0.0371904 0.0770752 0.1074944 0.1264256 0.067232 0.3147328 0.0875328 0.1247104 0.122912 0.0993152 0.0731456 0.0697856 0.1155776 0.1854656 0.0675968 0.2049792 0.0653184 0.034464 0.1276416 0.14896 0.7708352 0.10992 0.4598592 0.0498944 0.2397056 0.2104128 0.075968 0.2136192 0.2389824 0.0993216 0.2825216 0.039584 0.0802112
Stop_Stop_Stop_seg020,SP hh ae v dh ax k ah r ih jh t uw t eh l hh ih m AP t eh l hh ih m t uw s t aa p SP,0.0802112 0.0829504 0.0972544 0.0791744 0.067104 0.0724736 0.1488512 0.1546496 0.0707456 0.0768 0.1593728 0.0781056 0.0988672 0.1496576 0.2233728 0.0895744 0.2348928 0.1463552 0.1291776 0.3406208 0.117632 0.142784 0.0581376 0.0462464 0.065408 0.1395712 0.0766592 0.1535616 0.1791616 0.1112576 0.1887488 0.2361984 0.1006976
Stop_Stop_Stop_seg021,SP AP s t aa p s t aa p AP g ih v ax n ah p m ay hh aa r t ih n dh ah n ey m ax v ax m eh m er iy AP f ao l ax n d aw n l ay k r ey n hh iy k uh d f iy l eh v r iy dr ao p SP,0.1006976 0.3141376 0.1395968 0.0836736 0.5011328 0.1058176 0.1291648 0.0824704 0.7477376 0.1302656 0.3895296 0.059456 0.2207488 0.0617856 0.1684224 0.1064064 0.0831872 0.0697728 0.1082624 0.1913856 0.070144 0.2197888 0.0500096 0.2129024 0.1172992 0.1000064 0.0294016 0.0914304 0.1389568 0.2006272 0.0732928 0.1673344 0.0920704 0.1381376 0.1135744 0.2340096 0.242624 0.0725632 0.2361856 0.4708352 0.1356032 0.2081664 0.0702976 0.068928 0.135744 0.058368 0.1822592 0.0281728 0.0761984 0.1560576 0.1395712 0.0200192 0.3810304 0.079168 0.0508928 0.1293184 0.094272 0.0953088 0.0593664 0.107456 0.1435904 0.1197952 0.1499904 0.1059072 0.0249344 0.1033984 0.146944 0.7074816 0.1868544 0.0536448
Stop_Stop_Stop_seg022,SP AP n aw ay n ow ay hh ae v SP,0.0536448 0.3812608 0.050816 0.2481408 0.2208384 0.07296 0.225984 0.210432 0.0687872 0.2416256 0.0593664 0.1406464
Stop_Stop_Stop_seg023,SP hh ae v dh ax k ah r ih jh t uw t eh l hh ih m AP t eh l hh iy m t uw s t aa p SP,0.1406464 0.0613248 0.1292928 0.0707072 0.0612224 0.0868224 0.1467392 0.2136704 0.0475392 0.0299392 0.1923072 0.0961408 0.0770816 0.147392 0.2606464 0.1093632 0.1225216 0.2076928 0.109376 0.5302016 0.1178112 0.1321856 0.1167872 0.0399104 0.1141504 0.129152 0.0723456 0.2589056 0.15936 0.0905728 0.2188288 0.1730048 0.096768
Stop_Stop_Stop_seg024,SP AP s t aa p s t aa p AP s t aa p AP s t aa p s t aa p AP s t aa p SP,0.096768 0.2604288 0.1791744 0.1139712 0.4548736 0.112384 0.1593984 0.0497664 2.2502272 0.2577024 0.30272 0.1197696 0.0872704 0.2126976 0.3306112 0.2486016 0.1000192 0.1053312 0.4758784 0.1000192 0.109376 0.0861696 1.8940288 0.180352 0.4706944 0.1291776 0.120768 0.165504 0.2824704 0.260416
Stop_Stop_Stop_seg025,SP s t aa p s t aa p SP,0.260416 0.139584 0.11936 0.4327424 0.0895616 0.1291776 0.1258368 2.3483136 0.3101824 0.341504
