name,ph_seq,ph_dur
I_Love_It_seg000,SP ay g aa t dh ih z f iy l ih ng aa n ax s ah m er d ey w eh n y uw w er g ao n AP ay k r ae sh t m ay k aa r ih n t uw dh ax b r iy jh ay w aa ch ay l eh t ih t b er n SP,0.4721089 0.1976828 0.0853104 0.2053146 0.0237103 0.0122449 0.0942531 0.0791667 0.0991425 0.1810658 0.0456917 0.1345166 0.0781817 0.1614016 0.0395834 0.0802082 0.2013464 0.0882372 0.0609692 0.0796556 0.0736324 0.3169928 0.0621456 0.1472292 0.0697916 0.0697918 0.1208334 0.0291666 0.0742986 0.1301588 0.4465844 0.0791664 0.2688068 0.1541948 0.0965988 0.0304 0.08125 0.0697912 0.0291668 0.0587796 0.1505952 0.0906252 0.10073 0.1388536 0.0416664 0.0791668 0.0750068 0.1447848 0.0197916 0.0385984 0.0811936 0.0197916 0.1614584 0.1583328 0.201042 0.0593752 0.1 0.1249292 0.195904 0.0875424 0.1260768 0.0344672 0.069388 0.0419 0.1501624 0.5172344 0.112812 0.419728
I_Love_It_seg001,SP ay th r uw y ao r sh ih t ih n t uw dh ax b ae g ae n d p uh r sh ih t d aw n dh ax s t eh r z SP,0.419728 0.1708968 0.0895832 0.03884 0.180952 0.0483 0.0933672 0.0291656 0.1352888 0.1738104 0.020068 0.1051032 0.0918344 0.0758512 0.0667944 0.019792 0.0604168 0.080436 0.17998 0.181356 0.1696856 0.0895832 0.0593752 0.0791672 0.0549112 0.0346928 0.15 0.0683688 0.0775488 0.1020408 0.1728544 0.0325888 0.0224496 0.0460016 0.0697928 0.0855656 0.3248512 0.0791664 0.059376 0.2672192
I_Love_It_seg002,SP ay k r ae sh t m ay k aa r ih n t uw dh ax b r ih jh SP,0.2672192 0.1546544 0.0888832 0.0316312 0.0878192 0.0500008 0.0395832 0.05 0.1510416 0.0997872 0.1793792 0.039584 0.0708328 0.1093744 0.0297424 0.1608832 0.0291664 0.0364784 0.0816336 0.0397952 0.2827184 0.230208 0.5095232
I_Love_It_seg003,SP ay d ow n t k eh r SP,0.5095232 0.4139472 0.1292512 0.2707488 0.0693856 0.0387776 0.1289104 0.509248 0.1593744 0.5310384
I_Love_It_seg004,SP ay l ah v ih t SP,0.5310384 0.2095856 0.059376 0.1604176 0.0678976 0.2623088 0.05 0.8046992
I_Love_It_seg005,SP ay SP,0.8046992 0.4046768 0.1123312
I_Love_It_seg006,SP d ow n t SP,0.1123312 0.035712 0.2623744 0.0395824 0.05 0.1031456
I_Love_It_seg007,SP k eh r SP,0.1031456 0.0493216 0.5777408 0.2130752 0.2489776
Wake_Me_Up_seg000,SP s ow w ey k m iy ah p w eh n ih t s ao l ow v er SP,0.4197917 0.0768069 0.2231931 0.0625212 0.1374787 0.0395833 0.1032102 0.2240362 0.4540037 0.0395834 0.0919004 0.410431 0.0789114 0.4791738 0.059375 0.072789 0.4195014 0.05034 0.2969528 0.075836 0.2835392 0.7218752
Wake_Me_Up_seg001,SP w eh n ay m w ay z er ae n d ay m ow l d er SP,0.7218752 0.0925456 0.1866208 0.0687076 0.1615008 0.0697916 0.0390024 0.4516224 0.1152708 0.4534796 0.3312496 0.1093752 0.0170072 0.2281176 0.0897952 0.36508 0.0395832 0.077424 1.0829928 0.7483
Wake_Me_Up_seg002,SP ao l dh ih s t ay m ay w aa z f ay n d ih ng m ay s eh l f ae n d ay SP,0.7483 0.2517 0.0395832 0.039584 0.1158448 0.085196 0.0848712 0.3301592 0.0979584 0.2568032 0.0475056 0.0931192 0.069792 0.0791664 0.238648 0.022676 0.0188848 0.110416 0.069792 0.0530624 0.2271456 0.1429208 0.797704 0.1093744 0.0915608 0.198024 0.0593752 0.0147096 1.1056704 0.4806608
Wake_Me_Up_seg003,SP d ih d ax n ow ay w aa z l ao s t SP,0.4806608 0.0649168 0.2048752 0.0386624 0.15092 0.1329792 0.3670208 0.25 0.0673328 0.1628768 0.0999984 0.2328192 1.0473904 0.2 0.0369632 1.0630368
Wake_Me_Up_seg004,SP s ow w ey k m iy ah p w eh n ih t s ao l ow v er SP,1.0630368 0.0938768 0.2457072 0.0540656 0.1563504 0.0697904 0.0695536 0.25024 0.4177856 0.0503408 0.0816336 0.4580464 0.0530624 0.49388 0.0556672 0.0640608 0.4453136 0.0558192 0.325432 0.0791648 0.3704576 0.7795424
Wake_Me_Up_seg005,SP w eh n ay m w ay z er ae n d ay m SP,0.7795424 0.039584 0.1802096 0.0804816 0.161184 0.087344 0.0403632 0.4816656 0.0838656 0.5197296 0.3310672 0.1083872 0.016328 0.3197904 0.0697936 0.0825232
Wake_Me_Up_seg006,SP ow l d er SP,0.0825232 0.2883088 0.1093744 0.0608208 1.2891808 0.416944
Wake_Me_Up_seg007,SP ao l dh ih s t ay m ay w aa z f ay n d ih ng m ay s eh l v ae n d ay AP d ih d ax n ow ay w aa z t l ao s SP,0.416944 0.2421728 0.0408192 0.019856 0.1579232 0.0629088 0.0967296 0.3834784 0.0682208 0.1732416 0.0772896 0.130208 0.069792 0.177584 0.353664 0.0526848 0.0163296 0.1216096 0.059376 0.0652704 0.143312 0.1863968 0.3927424 0.3310304 0.1057056 0.1755424 0.064816 0.0204096 1.1137312 0.4697984 0.1130752 0.1775456 0.05 0.15 0.140816 0.259184 0.420832 0.09232 0.3074848 0.1199872 0.059376 0.16848 0.9919392 0.1799424 0.4925184
